Number,ATTRIBUTE OR SET OF ATTRIBUTES,ES,SW,ESN,LSN,EGB,LGB,SC,ESAC,MSACI,MSACII,LSAC,Soho
1,"Deep, regular incising",,1,1,,,,,,,,,
4,Snaketown style Layout,,1,1,1,,,,,,,,
5,Exterior bowl design (more than trailing lines),1,1,1,1,1,,,,,,,
12,bowl,1,1,1,1,1,1,1,1,1,1,1,
15,Incising,1,1,1,1,1,1,,,,,,
17,Estrella Style,1,,,,,,,,,,,
18,Sweetwater style,,1,,,,,,,,,,
21,"Flying bird, Negative (Snaketown Style)",,,1,1,,,,,,,,
22,Massed Hachure,,,0.05,1,0.05,,,,,,,
23,Key,,,1,1,1,1,,,,,,
24,Trailing line spacing < 3 cm at rim,,,1,1,1,1,,,,,,
25,Multiple dots,,,1,1,1,1,,,,,,
26,Trailing lines,,,1,1,1,1,1,1,1,,,
28,Linebird (pendant dash motif),,,,,1,1,1,,,,,
29,"Incising, discontinuous (not patterned)",,,,1,1,1,,,,,,
32,Snaketown style design,,,,1,,,,,,,,
34,Filler-space hachure,,,,1,1,1,1,0.05,0.05,0.05,0.05,0.05
35,Motif Seration,,,,1,1,1,1,,,,,
36,Long Scroll Serration,,,,1,1,1,1,,,,,
37,"Flying bird, Negative (not Snaketown style)",,,,1,1,1,1,1,,,,
41,Design ticking,,,,,1,1,,,,,,
51,Slanted Railroad Tie Hachure,,,,,,1,1,,,,,
52,Organizational Banding Layout,,,,,,1,1,1,,,,
53,"Flying Bird, Positive",,,,,1,1,1,1,,,,
54,"Life forms, except birds and lizards",,,,,,1,1,1,1,0.25,0.25,0.25
55,Quail,,,,,,1,1,1,1,,,
56,Free floating fringe,,,,,,1,1,1,1,1,1,
57,Single capped fringe,,,,,1,1,1,1,1,1,1,
58,Large solid,,,,,1,,,1,1,1,1,
59,Indeterminate free floating or single capped fringe,,,,,1,1,1,1,1,1,1,
62,Cunieform hatch,,,,,,,1,,,,,
74,Diamond panel layout,,,,,,,,,1,,,
75,Double Capped Fringe (straight or wavy),,,,,,,,1,1,1,1,
78,Everted jar Rim,,,,,,,,1,1,1,1,
77,Gila Shoulder,,,,,,,,1,1,1,1,0.25
78,Panel with a centerline motif,,,,,,,,1,1,,,
80,Wavy capped fringe,,,,,,,,,1,1,1,
81,Panel with a serrated margin,,,,,,,,1,1,1,1,1
91,Crenulated lines as centerline motife in panel,,,,,,,,,1,0.25,,
92,Gila Shoulder < 120 degrees,,,,,,,,,1,1,,
93,"Gila Shoulder, knife edge",,,,,,,,,1,1,1,
95,Outline line and stagger,,,,,,,,,,,1,
96,Rectilinear scroll,,,,,,,,,1,1,1,1
101,Lines motif,,,,,,,,,0.25,1,1,1
102,Solid Void Motif (with specific geometric design),,,,,,,,,,1,1,1
103,Double capped fringe (as panel or panel border),,,,,,,,,,1,1,
111,Tapered Lines,,,,,,,,,,,1,1
112,"Upper Freeline, jars only",,,,,,,,,,0.25,1,1
114,Pitcher,,,,,,,,,,,1,1
121,Open Panel ,,,,,,,,,,,,1
124,Tall neck (jars and pitchers only),,,,,,,,,,,,1
123,Classic (mold inset) shoulder,,,,,,,,,,,,1
157,Coil based incising,1,1,,,,,,,,,,
165,Hachure filled design plus thickest line width < 2.1 mm,,0.25,1,0.25,,,,,,,,
172,All over layout spiraling elements,,,,,,1,,,,,,
175,Trailing lines showrt < 3 cm) more than 3 lines spacing < 4 cm at rim,,,,,0.25,1,,,,,,
179,Compressed globular body jar with short flared rim,,,,,,1,1,,,,,
185,Flare rimmed bowl,1,1,1,1,1,1,1,1,1,1,1,
186,"Outcurved or flar rimmed bowl, shallow or flat bottomed",,,,,,1,1,,,,,
188,Wavy edge solid,,,,,0.5,1,1,0.5,0.5,0.5,0.5,
190,Small geometric element group D,,,,,,1,1,,,,,
195,Small elemen t group A,,,,,,1,1,1,1,,,
200,Crenulated line,,,,,,1,1,1,1,1,1,1
203,Fringed curvilinear scroll,,,,,,1,1,1,1,1,1,1
207,Large repeated lief form or geometric element > 5 cm,,,,,,,,1,1,1,,
209,Wipe marked jar interior,,,,,,,,1,1,1,1,
217,Line demacated panels,,,,,,,,1,1,1,1,1
220,Jar with sectioned design,,,,,,,,1,1,1,1,1
222,Small elements used as panel centerline,,,,,,,,1,1,,,
224,Design element diveristy > 4,,,,,,,,,1,,,
227,Zipper motif,,,,,,,,,1,,,
230,Two or more voids within a single solid element,,,,,,,,,1,,,
233,"Panel, at least partly line demarcated > 1 cm motif",,,,,,,,,1,,,
235,"Panel, at least partly line demarcated with zipper, curavlinear scroll, or other elaboration",,,,,,,,,1,,,
238,"Panel, at least partly line demarcated with multiple different elements used",,,,,,,,,1,,,
245,Cauldron,,,,,,,,,1,0.05,,
246,Cauldron with Gila Shoulder,,,,,,,,,1,1,,
247,"Cauldron, vertical walls",,,,,,,,,1,1,0.05,
250,Small geometric element group E,,,,,,,,,1,0.05,0.05,
255,"Panel, isolated completely line demarcated",,,,,,,,,1,1,,
257,"Panel, at least partly line demarcated (does not have any parts where panel border is attached to an adjacent solid)",,,,,,,,,1,1,,
260,Banded layout,,,,,,,,,1,1,,
270,Design field separation from rim,,,,,,,,,,,1,
275,semi flare-rimmed hemispherical bowl,,,,,,,,,,,1,
277,Interlocking rectilinear fret,,,,,,,,,,,1,1
280,Small  geometric element group B,,,,,,,,1,1,1,1,1
284,Small geometric element group C,,,,,,,,,1,1,1,1
290,Coil-based incising thickest lines > 4 mm in width,1,,,,,,,,,,,
291,"Thickest lines > 4 mm in width, paste gray or brown, surface fire clouded",1,,,,,,,,,,,
293,Tool polishing over painted lines,1,,,,,,,,,,,
294,Red slip or wash on bowl exterior,1,0.25,,,,,,,,,,
295,Coil-based incsing with either (1) line with < 4 mm or (2) Snaketown style design,,1,,,,,,,,,,
300,Hachure sectioning negative star layout and hachure spacing > thickness of hachure lines,,1,,,,,,,,,,
302,"Incising, imitation of coil based incising (very deep, regular, continuous)",,1,,,,,,,,,,
305,"Snaketown style layout and thickest line < 2.5 mm wide, and polished surface",,,1,,,,,,,,,
307,Repeated negative life form and Snaketown layout,,,1,1,0.25,,,,,,,
310,"Polish, lustrous",,,1,1,,,,,,,,
311,Polish,1,1,1,1,,,,,,,,
312,polish and gray paste,1,1,1,1,,,,,,,,
315,Filled in or partly filled in Snaketown style design and bowl exterior with trailing lines or no painted exterior design,,,,1,,,,,,,,
316,Surface coating present and Snaketown style design present,,,,1,,,,,,,,
319,Surface coating absent and fire clouding present,1,1,1,1,1,1,,,,,,
320,Surface coating absent and sooted surface,1,1,1,1,1,,,,,,,
321,Surface coating absent and gray paste,1,1,1,1,1,1,,,,,,
324,"Full field negative design, not hachure filled",,,,,1,1,1,,,,,
326,"Repeated negaive life form, not in a rim solid, not Snaketown style",,,,,1,1,1,,,,,
330,Surface coating absent,1,1,1,1,1,1,1,,,,,
333,Serrated curvilinear scroll,,,1,1,1,1,1,1,1,,,
335,Avg. thickest line < 2.2 mm and either linebird or organizational banding,,,,,,,1,,,,,
338,Thickest line < 2.2 mm avg width and surface coating present,,,,,,,1,1,,,,1
340,Organizational banding layout and full rim line,,,,,,,,1,,,,
342,Large solid (> 5cm) and thickest line < 2.5 mm avg. width; in combination with other traits that place the sherd post SC,,,,,,,,1,,,,
345,Trailing lines present spaced > 3 cm (or unknown) and large solid and thickest line > 2.5 mm,,,,,,,,1,,,,
347,"Trailing lines present, umber of trailing lines/bowl < 6",,,,,,,1,1,0.05,,,
348,Gila Shoulder angle < 110 degrees,,,,,,,,,1,1,,
349,Thick serrated line,,,,1,1,,,1,1,1,1,1
350,Large solid and thickest line > 3.1 mm,,,,,,,,1,1,1,1,1
